"codigo","data","motorPressaoSkidA","motorPressaoSkidB","motorTransferenciaSkidA","motorTransferenciaSkidB","motorVacuo","portaUsina","status","usinada"
1,"2016-05-11 16:20:45",0,0,0,0,0,0,"FechamentoDeporta",2
2,"2016-05-11 16:20:45",0,0,1,0,0,1,"enchimento",2
3,"2016-05-11 16:20:45",0,0,0,0,1,1,"null",2
4,"2016-05-11 16:20:45",1,0,0,0,0,1,"pressao",2
5,"2016-05-11 16:20:45",0,0,0,1,0,1,"null",2
6,"2016-05-11 16:20:45",0,0,1,0,0,1,"enchimento",2
7,"2016-05-11 16:20:45",0,0,0,0,0,0,"FechamentoDeporta",2
8,"2016-05-11 16:20:58",1,0,0,0,0,0,"pressao",
9,"2016-05-11 16:22:49",1,0,0,0,0,1,"pressao",
10,"2016-05-11 16:22:56",1,0,0,0,0,0,"pressao",
11,"2016-05-11 16:27:06",0,0,0,0,0,0,"FechamentoDeporta",
12,"2016-05-11 16:27:16",0,0,1,0,0,0,"enchimento",
13,"2016-05-11 16:29:16",0,0,1,0,0,1,"enchimento",
14,"2016-05-11 16:29:26",0,0,1,0,0,0,"enchimento",
15,"2016-05-11 16:31:06",0,0,1,0,0,1,"enchimento",
16,"2016-05-11 16:31:16",0,0,1,0,0,0,"enchimento",
17,"2016-05-11 16:32:55",0,0,0,0,1,0,"vacuoInicial",
18,"2016-05-11 16:33:26",0,0,0,0,1,1,"null",
19,"2016-05-11 16:33:36",0,0,0,0,1,0,"vacuoInicial",
20,"2016-05-11 16:34:06",0,0,0,0,1,1,"null",
21,"2016-05-11 16:34:16",0,0,0,0,1,0,"vacuoInicial",
22,"2016-05-11 16:34:46",0,0,0,0,1,1,"null",
23,"2016-05-11 16:34:56",0,0,0,0,1,0,"vacuoInicial",
24,"2016-05-11 16:35:26",0,0,0,0,1,1,"null",
25,"2016-05-11 16:35:36",0,0,0,0,1,0,"vacuoInicial",
26,"2016-05-11 16:36:46",0,0,0,0,1,1,"null",
27,"2016-05-11 16:37:06",0,0,0,0,1,0,"vacuoInicial",
28,"2016-05-11 16:37:37",0,0,0,0,1,1,"null",
29,"2016-05-11 16:37:37",0,0,0,0,1,0,"vacuoInicial",
30,"2016-05-11 16:43:42",0,0,0,0,1,1,"null",
31,"2016-05-11 16:43:52",0,0,0,0,1,0,"vacuoInicial",
32,"2016-05-11 16:44:22",0,0,0,0,1,1,"null",
33,"2016-05-11 16:44:32",0,0,0,0,1,0,"vacuoInicial",
34,"2016-05-11 16:47:52",0,0,0,0,1,1,"null",
35,"2016-05-11 16:48:02",0,0,0,0,1,0,"vacuoInicial",
36,"2016-05-11 16:48:32",0,0,0,0,1,1,"null",
37,"2016-05-11 16:48:42",0,0,0,0,1,0,"vacuoInicial",
38,"2016-05-11 16:49:12",0,0,0,0,1,1,"null",
39,"2016-05-11 16:49:22",0,0,0,0,1,0,"vacuoInicial",
40,"2016-05-11 16:49:52",0,0,0,0,1,1,"null",
41,"2016-05-11 16:50:02",0,0,0,0,1,0,"vacuoInicial",
42,"2016-05-11 16:52:12",0,0,1,0,1,0,"enchimento",
43,"2016-05-11 16:52:22",0,0,1,0,0,0,"enchimento",
44,"2016-05-11 16:52:42",0,0,0,0,0,0,"FechamentoDeporta",
45,"2016-05-11 16:53:02",0,0,0,0,0,1,"(AberturaDePorta)",
46,"2016-05-11 16:53:12",0,0,0,0,0,0,"FechamentoDeporta",
47,"2016-05-11 16:55:03",0,0,0,0,0,1,"(AberturaDePorta)",
48,"2016-05-11 17:12:53",0,0,0,0,0,0,"FechamentoDeporta",
49,"2016-05-11 17:13:53",0,0,0,0,1,0,"vacuoInicial",
50,"2016-05-11 17:15:13",0,0,0,0,1,1,"null",
51,"2016-05-11 17:15:23",0,0,0,0,1,0,"vacuoInicial",
52,"2016-05-11 17:15:53",0,0,0,0,1,1,"null",
53,"2016-05-11 17:16:03",0,0,0,0,1,0,"vacuoInicial",
54,"2016-05-11 17:16:33",0,0,0,0,1,1,"null",
55,"2016-05-11 17:16:43",0,0,0,0,1,0,"vacuoInicial",
56,"2016-05-11 17:17:13",0,0,0,0,1,1,"null",
57,"2016-05-11 17:17:23",0,0,0,0,1,0,"vacuoInicial",
58,"2016-05-11 17:17:53",0,0,0,0,1,1,"null",
59,"2016-05-11 17:18:03",0,0,0,0,1,0,"vacuoInicial",
60,"2016-05-11 17:21:53",0,0,0,0,1,1,"null",
61,"2016-05-11 17:22:03",0,0,0,0,1,0,"vacuoInicial",
62,"2016-05-11 17:22:33",0,0,0,0,1,1,"null",
63,"2016-05-11 17:22:43",0,0,0,0,1,0,"vacuoInicial",
64,"2016-05-11 17:26:43",0,0,0,0,1,1,"null",
65,"2016-05-11 17:26:53",0,0,0,0,1,0,"vacuoInicial",
66,"2016-05-11 17:27:23",0,0,0,0,1,1,"null",
67,"2016-05-11 17:27:33",0,0,0,0,1,0,"vacuoInicial",
68,"2016-05-11 17:30:53",0,0,0,0,1,1,"null",
69,"2016-05-11 17:31:03",0,0,0,0,1,0,"vacuoInicial",
70,"2016-05-11 17:31:33",0,0,0,0,1,1,"null",
71,"2016-05-11 17:31:43",0,0,0,0,1,0,"vacuoInicial",
72,"2016-05-11 17:32:23",0,0,0,0,1,1,"null",
73,"2016-05-11 17:32:33",0,0,0,0,1,0,"vacuoInicial",
74,"2016-05-11 17:35:13",0,0,0,0,1,1,"null",
75,"2016-05-11 17:35:23",0,0,0,0,1,0,"vacuoInicial",
76,"2016-05-11 17:38:23",0,0,0,0,1,1,"null",
77,"2016-05-11 17:38:33",0,0,0,0,1,0,"vacuoInicial",
78,"2016-05-11 17:39:04",0,0,0,0,1,1,"null",
79,"2016-05-11 17:39:14",0,0,0,0,1,0,"vacuoInicial",
80,"2016-05-11 17:41:04",0,0,0,0,1,1,"null",
81,"2016-05-11 17:41:14",0,0,0,0,1,0,"vacuoInicial",
82,"2016-05-11 17:41:44",0,0,0,0,1,1,"null",
83,"2016-05-11 17:41:54",0,0,0,0,1,0,"vacuoInicial",
84,"2016-05-11 17:42:24",0,0,0,0,1,1,"null",
85,"2016-05-11 17:42:34",0,0,0,0,1,0,"vacuoInicial",
86,"2016-05-11 17:42:54",1,0,0,0,0,0,"pressao",
87,"2016-05-11 17:43:44",1,0,0,0,0,1,"pressao",
88,"2016-05-11 17:43:54",1,0,0,0,0,0,"pressao",
89,"2016-05-11 17:46:24",1,0,0,0,0,1,"pressao",
90,"2016-05-11 17:46:34",1,0,0,0,0,0,"pressao",
91,"2016-05-11 17:47:14",1,0,0,0,0,1,"pressao",
92,"2016-05-11 17:47:24",1,0,0,0,0,0,"pressao",
93,"2016-05-11 17:49:54",1,0,0,0,0,1,"pressao",
94,"2016-05-11 17:50:04",1,0,0,0,0,0,"pressao",
95,"2016-05-11 17:52:34",1,0,0,0,0,1,"pressao",
96,"2016-05-11 17:52:44",1,0,0,0,0,0,"pressao",
97,"2016-05-11 17:53:24",1,0,0,0,0,1,"pressao",
98,"2016-05-11 17:53:34",1,0,0,0,0,0,"pressao",
99,"2016-05-11 17:57:44",1,0,0,0,0,1,"pressao",
100,"2016-05-11 17:57:54",1,0,0,0,0,0,"pressao",
101,"2016-05-11 17:58:34",1,0,0,0,0,1,"pressao",
102,"2016-05-11 17:58:44",1,0,0,0,0,0,"pressao",
103,"2016-05-11 17:59:24",1,0,0,0,0,1,"pressao",
104,"2016-05-11 17:59:34",1,0,0,0,0,0,"pressao",
105,"2016-05-11 18:03:04",1,0,0,0,0,1,"pressao",
106,"2016-05-11 18:03:14",1,0,0,0,0,0,"pressao",
107,"2016-05-11 18:04:14",1,0,0,0,0,1,"pressao",
108,"2016-05-11 18:04:24",1,0,0,0,0,0,"pressao",
109,"2016-05-11 18:04:54",1,0,0,0,0,1,"pressao",
110,"2016-05-11 18:05:04",1,0,0,0,0,0,"pressao",
111,"2016-05-11 18:06:34",1,0,0,0,0,1,"pressao",
112,"2016-05-11 18:06:44",1,0,0,0,0,0,"pressao",
113,"2016-05-11 18:07:24",1,0,0,0,0,1,"pressao",
114,"2016-05-11 18:07:34",1,0,0,0,0,0,"pressao",
115,"2016-05-11 18:11:04",1,0,0,0,0,1,"pressao",
116,"2016-05-11 18:11:14",1,0,0,0,0,0,"pressao",
117,"2016-05-11 18:13:34",1,0,0,0,0,1,"pressao",
118,"2016-05-11 18:13:44",1,0,0,0,0,0,"pressao",
119,"2016-05-12 09:34:43",0,0,0,0,0,0,"FechamentoDeporta",
120,"2016-05-12 09:34:50",0,0,1,0,0,0,"enchimento",
121,"2016-05-12 09:40:21",0,0,1,0,1,0,"enchimento",
122,"2016-05-12 09:40:31",0,0,0,0,1,0,"vacuoInicial",
123,"2016-05-12 09:54:36",0,0,1,0,1,0,"enchimento",
124,"2016-05-12 09:54:43",0,0,1,0,0,0,"enchimento",
125,"2016-05-12 09:55:13",0,0,0,0,0,0,"FechamentoDeporta",
126,"2016-05-12 10:52:23",0,0,0,0,1,1,"null",
127,"2016-05-12 10:53:01",0,0,0,0,1,0,"vacuoInicial",
128,"2016-05-12 10:53:11",0,0,0,0,1,1,"null",
129,"2016-05-12 10:56:01",0,0,1,0,1,1,"enchimento",
130,"2016-05-12 10:56:11",0,0,1,0,0,0,"enchimento",
131,"2016-05-12 10:56:41",0,0,1,0,0,1,"enchimento",
132,"2016-05-12 10:57:11",0,0,1,0,0,0,"enchimento",
133,"2016-05-12 10:57:21",0,0,1,0,0,1,"enchimento",
134,"2016-05-12 10:59:54",0,0,1,0,0,0,"enchimento",
135,"2016-05-12 11:00:01",0,0,1,0,0,1,"enchimento",
136,"2016-05-12 11:00:41",0,0,1,0,0,0,"enchimento",
137,"2016-05-12 11:00:51",0,0,0,0,0,1,"(AberturaDePorta)",
138,"2016-05-12 11:01:01",1,0,0,0,0,1,"pressao",
139,"2016-05-12 11:01:31",1,0,0,0,0,0,"pressao",
140,"2016-05-12 11:01:41",1,0,0,0,0,1,"pressao",
141,"2016-05-12 11:02:01",1,0,0,0,0,0,"pressao",
142,"2016-05-12 11:02:11",1,0,0,0,0,1,"pressao",
143,"2016-05-12 11:03:31",1,0,0,0,0,0,"pressao",
144,"2016-05-12 11:03:41",1,0,0,0,0,1,"pressao",
145,"2016-05-12 11:04:14",1,0,0,0,0,0,"pressao",
146,"2016-05-12 11:04:21",1,0,0,0,0,1,"pressao",
147,"2016-05-12 11:07:15",1,0,0,0,0,0,"pressao",
148,"2016-05-12 11:07:25",1,0,0,0,0,1,"pressao",
149,"2016-05-12 11:09:15",1,0,0,0,0,0,"pressao",
150,"2016-05-12 11:09:35",1,0,0,0,0,1,"pressao",
151,"2016-05-12 11:09:45",1,0,0,0,0,0,"pressao",
152,"2016-05-12 11:09:55",1,0,0,0,0,1,"pressao",
153,"2016-05-12 11:10:35",1,0,0,0,0,0,"pressao",
154,"2016-05-12 11:10:45",1,0,0,0,0,1,"pressao",
155,"2016-05-12 11:19:00",1,0,0,0,0,0,"pressao",
156,"2016-05-12 11:19:10",1,0,0,0,0,1,"pressao",
157,"2016-05-12 11:19:20",1,0,0,0,0,0,"pressao",
158,"2016-05-12 11:19:30",1,0,0,0,0,1,"pressao",
159,"2016-05-12 11:19:40",1,0,0,0,0,0,"pressao",
160,"2016-05-12 11:19:53",1,0,0,0,0,1,"pressao",
161,"2016-05-12 11:20:20",1,0,0,0,0,0,"pressao",
162,"2016-05-12 11:20:30",1,0,0,0,0,1,"pressao",
163,"2016-05-12 11:21:40",1,0,0,0,0,0,"pressao",
164,"2016-05-12 11:21:50",1,0,0,0,0,1,"pressao",
165,"2016-05-12 11:23:00",1,0,0,0,0,0,"pressao",
166,"2016-05-12 11:23:10",1,0,0,0,0,1,"pressao",
167,"2016-05-12 11:24:00",1,0,0,0,0,0,"pressao",
168,"2016-05-12 11:24:10",1,0,0,0,0,1,"pressao",
169,"2016-05-12 11:25:50",1,0,0,0,0,0,"pressao",
170,"2016-05-12 11:26:00",1,0,0,0,0,1,"pressao",
171,"2016-05-12 11:26:20",1,0,0,0,0,0,"pressao",
172,"2016-05-12 11:26:40",1,0,0,0,0,1,"pressao",
173,"2016-05-12 11:27:50",1,0,0,0,0,0,"pressao",
174,"2016-05-12 11:28:00",1,0,0,0,0,1,"pressao",
175,"2016-05-12 11:31:10",1,0,0,0,0,0,"pressao",
176,"2016-05-12 11:31:20",1,0,0,0,0,1,"pressao",
177,"2016-05-12 11:32:00",1,0,0,0,0,0,"pressao",
178,"2016-05-12 11:32:31",1,0,0,0,0,1,"pressao",
179,"2016-05-12 11:33:21",1,0,0,0,0,0,"pressao",
180,"2016-05-12 11:33:31",1,0,0,0,0,1,"pressao",
181,"2016-05-12 11:34:51",1,0,0,0,0,0,"pressao",
182,"2016-05-12 11:35:01",1,0,0,0,0,1,"pressao",
183,"2016-05-12 11:36:11",1,0,0,0,0,0,"pressao",
184,"2016-05-12 11:36:21",1,0,0,0,0,1,"pressao",
185,"2016-05-12 11:36:51",1,0,0,0,0,0,"pressao",
186,"2016-05-12 11:37:01",1,0,0,0,0,1,"pressao",
187,"2016-05-12 11:37:11",1,0,0,0,0,0,"pressao",
188,"2016-05-12 11:37:21",1,0,0,0,0,1,"pressao",
189,"2016-05-12 11:39:01",1,0,0,0,0,0,"pressao",
190,"2016-05-12 11:39:21",1,0,0,0,0,1,"pressao",
191,"2016-05-12 11:40:11",1,0,0,0,0,0,"pressao",
192,"2016-05-12 11:40:21",1,0,0,0,0,1,"pressao",
193,"2016-05-12 11:46:44",1,0,0,0,0,0,"pressao",
194,"2016-05-12 11:46:51",1,0,0,0,0,1,"pressao",
195,"2016-05-12 11:47:31",1,0,0,0,0,0,"pressao",
196,"2016-05-12 11:48:21",1,0,0,0,0,1,"pressao",
197,"2016-05-12 11:49:51",0,0,0,0,0,1,"FechamentoDeporta",
198,"2016-05-12 11:50:01",0,0,1,0,0,1,"enchimento",
199,"2016-05-12 11:50:41",0,0,1,0,0,0,"enchimento",
200,"2016-05-12 11:51:04",0,0,1,0,0,1,"enchimento",
201,"2016-05-12 11:52:31",0,0,1,0,0,0,"enchimento",
202,"2016-05-12 11:52:41",0,0,1,0,0,1,"enchimento",
203,"2016-05-12 11:56:31",0,0,1,0,0,0,"enchimento",
204,"2016-05-12 11:56:41",0,0,1,0,0,1,"enchimento",
205,"2016-05-12 11:57:01",0,0,1,0,0,0,"enchimento",
206,"2016-05-12 11:57:11",0,0,1,0,0,1,"enchimento",
207,"2016-05-12 11:58:01",0,0,1,0,0,0,"enchimento",
208,"2016-05-12 11:58:11",0,0,1,0,0,1,"enchimento",
209,"2016-05-12 11:58:51",0,0,0,0,1,1,"vacuoInicial",
210,"2016-05-12 12:19:31",0,0,0,0,1,0,"null",
211,"2016-05-12 12:19:44",0,0,1,0,0,1,"enchimento",
212,"2016-05-12 12:20:51",0,0,0,0,0,1,"FechamentoDeporta",
213,"2016-05-12 12:21:31",0,0,0,0,0,0,"(AberturaDePorta)",
214,"2016-05-12 12:21:41",0,0,0,0,0,1,"FechamentoDeporta",
215,"2016-05-12 12:22:51",0,0,0,0,0,0,"(AberturaDePorta)",
216,"2016-05-12 12:23:11",0,0,0,0,0,1,"FechamentoDeporta",
217,"2016-05-12 12:25:21",0,0,0,0,0,0,"(AberturaDePorta)",
218,"2016-05-12 12:25:31",0,0,0,0,0,1,"FechamentoDeporta",
219,"2016-05-12 12:26:21",0,0,0,0,0,0,"(AberturaDePorta)",
220,"2016-05-12 12:26:31",0,0,0,0,0,1,"FechamentoDeporta",
221,"2016-05-12 12:27:11",0,0,0,0,0,0,"(AberturaDePorta)",
222,"2016-05-12 12:27:21",0,0,0,0,0,1,"FechamentoDeporta",
223,"2016-05-12 12:27:31",0,0,0,0,0,0,"(AberturaDePorta)",
224,"2016-05-12 12:27:51",0,0,0,0,0,1,"FechamentoDeporta",
225,"2016-05-12 12:30:01",0,0,0,0,0,0,"(AberturaDePorta)",
226,"2016-05-12 12:30:11",0,0,0,0,0,1,"FechamentoDeporta",
227,"2016-05-12 12:31:01",0,0,0,0,0,0,"(AberturaDePorta)",
228,"2016-05-12 12:31:21",0,0,0,0,0,1,"FechamentoDeporta",
229,"2016-05-12 12:32:21",0,0,0,0,0,0,"(AberturaDePorta)",
230,"2016-05-12 12:32:31",0,0,0,0,0,1,"FechamentoDeporta",
231,"2016-05-12 12:32:41",0,0,0,0,0,0,"(AberturaDePorta)",
232,"2016-05-12 12:32:51",0,0,0,0,0,1,"FechamentoDeporta",
233,"2016-05-12 12:35:11",0,0,0,0,0,0,"(AberturaDePorta)",
234,"2016-05-12 12:36:01",0,0,0,0,0,1,"FechamentoDeporta",
235,"2016-05-12 12:40:11",0,0,0,0,0,0,"(AberturaDePorta)",
236,"2016-05-12 12:40:21",0,0,0,0,0,1,"FechamentoDeporta",
237,"2016-05-12 12:42:21",0,0,0,0,0,0,"(AberturaDePorta)",
238,"2016-05-12 12:42:41",0,0,0,0,0,1,"FechamentoDeporta",
239,"2016-05-12 12:43:01",0,0,0,0,0,0,"(AberturaDePorta)",
240,"2016-05-12 12:43:11",0,0,0,0,0,1,"FechamentoDeporta",
241,"2016-05-12 12:43:21",0,0,0,0,0,0,"(AberturaDePorta)",
242,"2016-05-12 12:43:31",0,0,0,0,0,1,"FechamentoDeporta",
243,"2016-05-12 12:44:04",0,0,0,0,0,0,"(AberturaDePorta)",
244,"2016-05-12 12:44:11",0,0,0,0,0,1,"FechamentoDeporta",
245,"2016-05-12 12:46:11",0,0,0,0,0,0,"(AberturaDePorta)",
246,"2016-05-12 12:46:21",0,0,0,0,0,1,"FechamentoDeporta",
247,"2016-05-12 12:47:51",0,0,0,0,0,0,"(AberturaDePorta)",
248,"2016-05-12 12:48:01",0,0,0,0,0,1,"FechamentoDeporta",
249,"2016-05-12 12:49:11",0,0,0,0,0,0,"(AberturaDePorta)",
250,"2016-05-12 12:49:21",0,0,0,0,0,1,"FechamentoDeporta",
251,"2016-05-12 12:52:11",0,0,0,0,0,0,"(AberturaDePorta)",
252,"2016-05-12 12:52:21",0,0,0,0,0,1,"FechamentoDeporta",
253,"2016-05-12 12:52:51",0,0,0,0,0,0,"(AberturaDePorta)",
254,"2016-05-12 12:53:01",0,0,0,0,0,1,"FechamentoDeporta",
255,"2016-05-12 12:53:31",0,0,0,0,0,0,"(AberturaDePorta)",
256,"2016-05-12 12:53:41",0,0,0,0,0,1,"FechamentoDeporta",
257,"2016-05-12 12:54:31",0,0,0,0,0,0,"(AberturaDePorta)",
258,"2016-05-12 12:54:41",0,0,0,0,0,1,"FechamentoDeporta",
259,"2016-05-12 12:55:01",0,0,0,0,0,0,"(AberturaDePorta)",
260,"2016-05-12 12:55:11",0,0,0,0,0,1,"FechamentoDeporta",
261,"2016-05-12 12:55:41",0,0,0,0,0,0,"(AberturaDePorta)",
262,"2016-05-12 12:56:01",0,0,0,0,0,1,"FechamentoDeporta",
263,"2016-05-12 12:57:41",0,0,0,0,0,0,"(AberturaDePorta)",
264,"2016-05-12 12:57:51",0,0,0,0,0,1,"FechamentoDeporta",
265,"2016-05-12 12:58:21",0,0,0,0,0,0,"(AberturaDePorta)",
266,"2016-05-12 12:58:41",0,0,0,0,0,1,"FechamentoDeporta",
267,"2016-05-12 12:59:21",0,0,0,0,0,0,"(AberturaDePorta)",
